"Report Generated, 9th July 2025 - 19:40",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS P&L REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajs Limited, Bellam & Co Limited, Dhillon Brothers Limited, Fans (UK) Limited, MDJ Investments Limited, Nij Enterprises Ltd, Popat Leisure Limited, R & D 2 Pizza Limited, R&D Yorkshire Limited, Radas Pizza Ltd, Topbake Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,
British Pound,Eliminated accounts removed,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Code,Account Name,May 24,,Jun 24,,Jul 24,,Aug 24,,Sep 24,,Oct 24,,Nov 24,,Dec 24,,Jan 25,,Feb 25,,Mar 25,,Apr 25,,May 25,
,,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,
4905,Competitor Intrusion Rebate,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4905,HMRC JRS GRANT,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4906,ICB Rebate,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4906,Rent Income,"£ 10,325.00",£ 0.00,"£ 2,175.00",£ 150.00,"£ 2,747.00",£ 0.00,£ 175.00,£ 0.00,£ 175.00,£ 0.00,"£ 4,175.00","£ 1,175.00",£ 0.00,£ 800.00,£ 0.00,£ 842.00,"£ 3,000.00",£ 325.00,"£ 1,000.00",£ 325.00,£ 0.00,£ 325.00,"£ 2,000.00",£ 325.00,£ 0.00,"£ 10,325.00"
4906,RENTAL VEHICLE RECONSILE- ALL RDY VEHICLE,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 1,737.73",£ 0.00,£ 571.58,£ 0.00,"£ 1,092.98",£ 0.00,£ 0.00,£ 0.00,£ 108.84,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4908,Profit on sale of Motor Vehicle,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 1,534.00",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4908,SPONSERS RECEIVED,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
Total Revenue,,"£ 2,924,680.06","£ 2,795,298.92","£ 2,829,953.18","£ 2,564,639.44","£ 2,836,799.00","£ 2,737,123.38","£ 2,720,240.32","£ 2,619,455.26","£ 13,004,064.11","£ 2,733,451.24","£ 4,081,335.42","£ 2,972,719.96","£ 4,228,955.46","£ 2,797,941.47","£ 4,644,515.42","£ 17,486,380.36","£ 3,641,716.90","£ 2,479,772.60","£ 3,698,635.56","£ 2,781,563.89","£ 4,178,200.46","£ 2,973,509.74","£ 3,829,110.51","£ 2,680,050.54","£ 4,162,744.00","£ 2,924,680.06"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,
